skill_level,accuracy_easy,accuracy_medium,accuracy_hard,avg_response_time,games_played,avg_session_duration
intermedio,0.797,0.636,0.397,0.0976670936427966,-0.562068728101378,-1.1572470447216852
principiante,0.74,0.546,0.4,1.244922875717256,-0.7087801710404725,0.6150313321759022
principiante,0.6177660821498463,0.4454157445622675,0.3008935671400614,0.9194550088321948,-0.8377829553644945,-0.3428927728296171
intermedio,0.787,0.65,0.434,-0.3415167604325823,-0.3053237029579624,-0.4153630729971137
principiante,0.847,0.536,0.363,1.4869221422485874,-0.8188137532447934,0.2166121621756691
intermedio,0.81,0.699,0.554,-0.1712209802809047,-0.2869847725905756,-1.006122531962976
principiante,0.726,0.514,0.338,0.5637397551105457,-0.8371526836121803,-0.8000436509283728
experto,0.884,0.75,0.65,-1.1392180464062296,0.0064381132876134,0.3127823066584839
intermedio,0.87,0.715,0.551,-0.601441898558827,-0.3603404940601229,-0.0032053109279072
intermedio,0.883,0.707,0.537,-0.6731453849384805,-0.0119008170797733,-0.1543298236866163
principiante,0.669,0.55,0.357,0.2500370021995607,-0.7271191014078593,0.2166121621756691
principiante,0.552,0.429,0.291,1.5765515002231545,-0.7637969621426329,-0.8962137954111877
intermedio,0.763,0.623,0.464,-0.2339615308631016,-0.2686458422231888,1.2470065673486848
principiante,0.652,0.55,0.362,0.2769258095919311,-0.7821358925100198,-1.693052135411653
principiante,0.695,0.55,0.4,0.2500370021995607,-0.7637969621426329,-0.9099523874801612
intermedio,0.75,0.642,0.508,-0.0636657507114243,-0.3053237029579624,0.5051225956241138
principiante,0.7,0.55,0.372,1.2001081967299725,-0.8921694747143407,-0.4153630729971137
experto,0.9616808461109828,0.7772142215754823,0.6880999102056751,-1.1047056609997177,0.8580141856190138,-0.9677959404896864
intermedio,0.779,0.619,0.477,-0.3146279530402121,-0.1035954689167074,-0.8962137954111877
principiante,0.678,0.496,0.312,0.7698872784520502,-0.8004748228774066,-0.4153630729971137
intermedio,0.853,0.649,0.495,-0.4580349257995194,-0.4153572851622834,1.3156995276935526
experto,0.9622456796849018,0.8332879157486698,0.65,-1.0636266516156268,1.5124831547303816,1.2476922550761589
principiante,0.731,0.55,0.4,1.298700490501996,-0.653763379938312,-0.9649067557560554
intermedio,0.856,0.729,0.526,-0.3325538246351255,-0.2686458422231888,1.0821434625210025
experto,0.919,0.752,0.65,-1.2736620833680805,-0.3420015636927361,0.7661558449346109
principiante,0.651,0.55,0.4,1.0567012239706648,-0.7087801710404725,0.463906819417193
principiante,0.692,0.55,0.4,1.3255892978943664,-0.8371526836121803,0.0654876494169604
intermedio,0.726,0.602,0.385,-0.3684055678249524,-0.6170855192035384,0.2166121621756691
intermedio,0.71,0.55,0.396,-0.2967020814452987,-0.562068728101378,-1.3633259257562882
intermedio,0.73,0.553,0.373,0.2410740664021042,-0.3420015636927361,-1.4045417019632087
intermedio,0.891,0.636,0.407,-0.3594426320274957,-0.2869847725905756,1.0546662783830554
intermedio,0.715,0.55,0.394,0.3575922317690413,-0.3970183547948965,0.9584961339002408
principiante,0.708,0.55,0.368,0.9043313154139008,-0.873830544346954,1.6316871452799442
intermedio,0.769,0.653,0.509,-0.0547028149139674,-0.4887130066318306,0.038010465279013
intermedio,0.771,0.563,0.405,0.2052223232122773,-0.452035145897057,-0.1543298236866163
principiante,0.732,0.539,0.39,0.4830733329334354,-0.8188137532447934,-0.7863050588593993
intermedio,0.777,0.686,0.516,-0.287739145647842,-0.0119008170797733,1.2882223435556055
experto,0.8792658809037497,0.75,0.65,-1.026626586564292,1.0517571442286624,0.6090420050347852
intermedio,0.798,0.562,0.413,-0.0726286865088808,-0.0852565385493206,-0.2779771523073781
principiante,0.675,0.515,0.309,1.1373676461477755,-0.8921694747143407,-0.7313506905835051
intermedio,0.838,0.651,0.504,-0.251887402458015,-0.4153572851622834,0.6699857004517962
principiante,0.579,0.506,0.389,0.653369113085113,-0.6904412406730857,-0.2504999681694311
experto,0.9670714438968916,0.7652876707417234,0.65,-1.037193582164052,-0.069901307429261,-0.3254353761138441
experto,0.964820929139848,0.75,0.65,-1.1528630751802569,1.229398471189678,1.2242460204335397
principiante,0.703,0.496,0.378,0.6712949846800265,-0.873830544346954,-0.7176120985145316
experto,0.8891234310047859,0.7880569681560551,0.65,-0.8141320479044363,1.7789692187912172,-1.189608128204775
experto,0.972,0.75,0.65,-0.9509963946596388,0.464911372472284,-1.3770645178252616
experto,0.9646312216270644,0.7673106685991088,0.6742349360387523,-0.8854990847305794,0.9233846316569544,-0.3651651890077064
principiante,0.538,0.477,0.324,0.644406177287656,-0.7454580317752462,-0.8000436509283728
intermedio,0.716,0.55,0.418,-0.0815916223063375,-0.3970183547948965,0.4089524511412991
intermedio,0.809,0.679,0.477,0.0797412220478832,-0.2869847725905756,-1.5831433988598649
intermedio,0.801,0.614,0.431,-0.5387013479766299,-0.5070519369992175,-1.2396785971355262
principiante,0.695,0.512,0.345,1.657217922400265,-0.6904412406730857,1.6179485532109703
intermedio,0.852,0.599,0.426,-0.287739145647842,-0.3603404940601229,0.7112014766587169
intermedio,0.825,0.677,0.472,-0.2608503382554717,-0.4887130066318306,0.8623259894174256
principiante,0.728,0.55,0.348,0.2589999379970176,-0.7454580317752462,0.9584961339002408
experto,0.8786228112815345,0.75,0.65,-0.9152485765424224,2.407206321026132,0.1354029740665364
principiante,0.616,0.5,0.388,0.9581089301986412,-0.873830544346954,0.1891349780377221
experto,0.8612156900760208,0.75,0.65,-0.8668589507363432,2.4391331939229257,-0.0176171936533401
experto,0.928948781514688,0.7697764890782132,0.65,-1.0657407799823173,1.8169324625348928,-0.0663324674575766
intermedio,0.771,0.651,0.432,0.151444708427537,-0.6354244495709253,-0.4428402571350607
intermedio,0.843,0.714,0.448,0.0170006714656863,-0.140273329651481,-1.3358487416183409
intermedio,0.814,0.694,0.437,-0.2070727234707314,-0.5437297977339911,0.8485873973484523
experto,0.9367704451399615,0.7538852225699808,0.65,-0.9259193240673682,1.1146906937944536,1.3775615126930756
experto,0.931,0.761,0.65,-0.7896635503054179,0.5199281635744445,-1.432018886101156
intermedio,0.773,0.55,0.35,-0.0009252001292270718,-0.2319679814884151,-1.665574951273706
experto,0.864,0.75,0.65,-0.8075894219003313,2.4455158521500606,0.1067034256238807
principiante,0.693,0.55,0.4,0.8505537006291605,-0.8188137532447934,-1.4045417019632087
principiante,0.492,0.422,0.306,1.5675885644256975,-0.6721023103056989,-1.7067907274806269
principiante,0.519,0.438,0.326,1.6661808581977215,-0.7271191014078593,-1.184724228859632
intermedio,0.882,0.744,0.533,-0.2698132740529285,-0.1035954689167074,0.8211102132105054
principiante,0.657,0.55,0.362,0.5099621403258054,-0.873830544346954,-0.7038735064455581
principiante,0.639,0.502,0.356,0.6085544340978292,-0.8188137532447934,0.5875541480379547
principiante,0.68,0.55,0.4,0.7698872784520502,-0.873830544346954,0.4226910432102723
intermedio,0.86,0.683,0.459,-0.5924789627613702,-0.0852565385493206,-1.5694048067908914
principiante,0.699,0.506,0.378,1.0477382881732082,-0.8188137532447934,-0.1405912316176426
principiante,0.58,0.442,0.31,1.253885811514713,-0.873830544346954,-0.6351805461006904
principiante,0.725,0.55,0.378,1.0208494807808384,-0.8004748228774066,0.944757541831267
experto,0.8793379149348927,0.75,0.65,-0.8404740521246522,1.0661381478009666,1.519309519712563
intermedio,0.861,0.61,0.487,-0.5387013479766299,-0.1586122600188678,1.3156995276935526
principiante,0.6503143043434587,0.5412565100124964,0.3978141275031241,0.6820965526927855,-0.6904412406730857,-0.2725170049347657
intermedio,0.785,0.662,0.477,-0.3863314394198658,-0.4336962155296702,-0.5527489936868492
intermedio,0.895,0.783,0.521,-0.4490719900020627,-0.1219343992840942,-0.8687366112732405
experto,0.8659551822944389,0.75,0.65,-0.9947543213627312,1.0197072150570343,1.2205334649991495
principiante,0.6485718671726256,0.5373674095960894,0.3729301634201915,1.2282897268634754,-0.7472492338728447,1.3029829941949334
intermedio,0.839,0.696,0.526,-0.0726286865088808,-0.2319679814884151,1.205790791141764
principiante,0.528,0.45,0.282,1.5138109496409573,-0.8371526836121803,0.1753963859687484
intermedio,0.805,0.654,0.415,-0.4221831826096925,-0.5070519369992175,-0.7313506905835051
intermedio,0.899,0.681,0.482,-0.350479696230039,-0.4336962155296702,-1.0198611240319495
intermedio,0.825,0.602,0.384,0.1604076442249935,-0.5437297977339911,1.370653895969447
experto,0.9589207495097388,0.75,0.65,-1.0283281803018698,0.8782085033972428,-0.7749934550872808
intermedio,0.844,0.707,0.438,0.0080377356682294,-0.3236626333253493,-0.374147296790193
intermedio,0.84,0.657,0.412,-0.099517493901251,-0.3603404940601229,1.453085448383288
principiante,0.585,0.432,0.291,1.2359599399197994,-0.6904412406730857,0.5051225956241138
principiante,0.594,0.479,0.293,1.029812416578295,-0.873830544346954,-0.2504999681694311
intermedio,0.823,0.583,0.388,-0.1353692370910779,-0.6354244495709253,-0.7588278747214523
principiante,0.637,0.392,0.29,1.0208494807808384,-0.7454580317752462,-1.5694048067908914
intermedio,0.775,0.648,0.397,-0.2160356592681881,-0.0302397474471601,-0.2092841919625103
intermedio,0.821,0.602,0.457,-0.0278140075215974,-0.6721023103056989,1.109620646658949
principiante,0.579,0.437,0.329,0.8774425080215308,-0.7271191014078593,0.7936330290725578
principiante,0.495,0.387,0.239,2.57143737374085,-0.7637969621426329,-1.4594960702391029
principiante,0.641,0.546,0.345,1.0118865449833814,-0.8921694747143407,-0.3054543364453253
experto,0.9164624027468228,0.75,0.65,-1.0895167820961444,2.653141881618032,-1.515692384938614
intermedio,0.796,0.669,0.411,-0.4311461184071493,-0.5804076584687647,-0.1131140474796956
principiante,0.528,0.406,0.318,1.1015159029579489,-0.7821358925100198,0.2440893463136161
experto,0.9207997768201832,0.7828411445867443,0.65,-1.1094866181396066,0.7957707596756669,0.1025356365802301
principiante,0.519,0.412,0.269,0.8236648932367905,-0.8554916139795671,-1.0198611240319495
principiante,0.622,0.476,0.289,0.8953683796164442,-0.8921694747143407,0.8760645814863993
principiante,0.514,0.412,0.316,1.89025425313414,-0.7637969621426329,-0.4977946254109549
intermedio,0.788,0.694,0.52,-0.3235908888376688,-0.2869847725905756,-0.9236909795491348
intermedio,0.898,0.679,0.475,-0.4759607973944329,-0.4153572851622834,0.463906819417193
principiante,0.65,0.497,0.387,1.6661808581977215,-0.8188137532447934,-1.7480065036875472
